city,year,im2_cnt,im3_cnt
Epinal (Épinal),300,0,0
Epinal (Épinal),400,0,0
Epinal (Épinal),500,0,0
Epinal (Épinal),600,0,0
Epinal (Épinal),700,0,0
Epinal (Épinal),800,0,0
Epinal (Épinal),900,469.42,7041.3
Epinal (Épinal),1000,783.563277591971,13228.3655518395
Epinal (Épinal),1100,595.986622073579,11919.7324414716
Epinal (Épinal),1200,608.026755852843,12160.5351170569
Epinal (Épinal),1300,301.003344481606,6020.06688963211
Epinal (Épinal),1400,0,0
Epinal (Épinal),1500,0,0
Epinal (Épinal),1600,0,0
Epinal (Épinal),1700,0,0
Epinal (Épinal),1800,0,0
Epinal (Épinal),1900,0,0
Epinal (Épinal),2000,0,0
Montepulciano,0,0,0
Montepulciano,100,0,0
Montepulciano,200,0,0
Montepulciano,300,0,0
Montepulciano,400,0,0
Montepulciano,500,0,0
Montepulciano,600,325,6175
Montepulciano,700,643.5,12226.5
Montepulciano,800,331.5,6298.5
Montepulciano,900,0,0
Montepulciano,1000,1400,28000
Montepulciano,1100,294,5586
Montepulciano,1200,606,11514
Montepulciano,1300,1300,22700
Montepulciano,1400,600,11400
Montepulciano,1500,2100,41400
Montepulciano,1600,1700,37400
Montepulciano,1700,0,0
Montepulciano,1800,0,0
Montepulciano,1900,0,0
Montepulciano,2000,0,0
Turnhout,0,0,0
Turnhout,100,0,0
Turnhout,200,0,0
Turnhout,300,0,0
Turnhout,400,0,0
Turnhout,500,0,0
Turnhout,600,0,0
Turnhout,700,0,0
Turnhout,800,0,0
Turnhout,900,0,0
Turnhout,1000,0,0
Turnhout,1100,328.79,5260.64
Turnhout,1200,342.21,5475.36
Turnhout,1300,0,0
Turnhout,1400,250,4000
Turnhout,1500,250,4000
Turnhout,1600,0,0
Turnhout,1700,0,0
Turnhout,1800,0,0
Turnhout,1900,0,0
Turnhout,2000,0,0
Erfurt,0,0,0
Erfurt,100,0,0
Erfurt,200,0,0
Erfurt,300,0,0
Erfurt,400,0,0
Erfurt,500,0,0
Erfurt,600,0,0
Erfurt,700,0,0
Erfurt,800,50,150
Erfurt,900,1005.46,12462.44
Erfurt,1000,486.54,6811.56000000001
Erfurt,1100,3878.85849056604,67726.4433962264
Erfurt,1200,3140.14150943396,53369.5566037737
Erfurt,1300,5915.12720156554,146039.530332681
Erfurt,1400,2084.87279843444,41960.469667319
Erfurt,1500,700,21000
Erfurt,1600,0,0
Erfurt,1700,0,0
Erfurt,1800,0,0
Erfurt,1900,0,0
Erfurt,2000,0,0
Arles,0,0,0
Arles,100,0,0
Arles,200,0,0
Arles,300,0,0
Arles,400,0,0
Arles,500,0,0
Arles,600,0,0
Arles,700,121.03,2178.54
Arles,800,259.469999999999,4857.35999999999
Arles,900,247.670000000001,4941.80199999999
Arles,1000,118.83,2447.898
Arles,1100,946.835443037974,19883.5443037975
Arles,1200,353.164556962025,7416.45569620253
Arles,1300,0,0
Arles,1400,446.939988116459,9181.81818181819
Arles,1500,1653.06001188354,29718.1818181818
Arles,1600,0,0
Arles,1700,0,0
Arles,1800,0,0
Arles,1900,0,0
Arles,2000,0,0
"Koeln (Köln, Cologne)",0,0,0
"Koeln (Köln, Cologne)",100,0,0
"Koeln (Köln, Cologne)",200,0,0
"Koeln (Köln, Cologne)",300,0,0
"Koeln (Köln, Cologne)",400,0,0
"Koeln (Köln, Cologne)",500,0,0
"Koeln (Köln, Cologne)",600,0,0
"Koeln (Köln, Cologne)",700,506,3542
"Koeln (Köln, Cologne)",800,1571.70731707317,22767.3170731707
"Koeln (Köln, Cologne)",900,7169.29268292681,124124.682926829
"Koeln (Köln, Cologne)",1000,5459.0813823857,85650.2430323302
"Koeln (Köln, Cologne)",1100,6556.25745819395,109829.893779264
"Koeln (Köln, Cologne)",1200,8721.95316484033,161321.384868622
"Koeln (Köln, Cologne)",1300,4579.1107723577,127380.172764227
