osmid,city,church,period,previous_surface,end_surface,factor,rule_of_thumb,rule_of_thumb_m2,estimated by rule of thumb,period1,period2,,,,
38246033,"Koeln (K_ln, Cologne)",St. Gereon,1010-1075,530,1700,1,1.879,904.736562,850,1010,1075,,,904.736562,530
36863441,"Koeln (K_ln, Cologne)",Sankt Peter,1100-1200,450,1000,1,1.879,532.1979776,500,1100,1200,,,532.1979776,450
27780576,"Koeln (K_ln, Cologne)",St. Ursula,ca 700,450,1400,3,1.879,211.031699,175, ca 700,,,,211.031699,450
27780576,"Koeln (K_ln, Cologne)",St. Ursula,ca 700,450,700,2,1.879,198.2642812,, ca 700,,,,198.2642812,450
27780576,"Koeln (K_ln, Cologne)",St. Ursula,ca 700,450,600,1,1.879,319.3187866,, ca 700,,,,319.3187866,450
27780576,"Koeln (K_ln, Cologne)",St. Ursula,800-900,600,1400,2,1.879,396.5285624,350,800,900,,,396.5285624,600
27780576,"Koeln (K_ln, Cologne)",St. Ursula,800-900,600,700,1,1.879,372.5385844,,800,900,,,372.5385844,600
27780576,"Koeln (K_ln, Cologne)",St. Ursula,922-950,700,1400,1,1.879,745.0771687,700,922,950,,,745.0771687,700
248656007,"Koeln (K_ln, Cologne)",St. Severin,ca 700,210,1500,2,1.879,424.8520311,375, ca 700,,,,424.8520311,210
248656007,"Koeln (K_ln, Cologne)",St. Severin,ca 700,880,1500,1,1.879,798.2969665,, ca 700,,,,798.2969665,880
248656007,"Koeln (K_ln, Cologne)",St. Severin,800-900,880,1500,1,1.879,798.2969665,750,800,900,,,798.2969665,880
3207528,St-Truiden (Saint Trond),Abdij Sint-Truiden,657-680,250,2600,3,1.879,391.9160124,,800,900,,,391.9160124,250
3207528,St-Truiden (Saint Trond),Abdij Sint-Truiden,657-680,250,1600,2,1.879,453.1754999,,657,680,,,453.1754999,250
3207528,St-Truiden (Saint Trond),Abdij Sint-Truiden,657-680,250,1100,1,1.879,585.4177754,,657,680,,,585.4177754,250
3207528,St-Truiden (Saint Trond),Abdij Sint-Truiden,700-750,1100,2600,2,1.879,736.4101873,,700,750,,,736.4101873,1100
3207528,St-Truiden (Saint Trond),Abdij Sint-Truiden,700-750,1100,1600,1,1.879,851.5167642,,700,750,,,851.5167642,1100
3207528,St-Truiden (Saint Trond),Abdij Sint-Truiden,939-945,1600,2600,1,1.879,1383.714742,,939,945,,,1383.714742,1600
247282293,"Liege (Luik, Luettich)",Basilique Saint-Martin,963-1020,1200,2300,1,1.879,1224.055349,,963,1020,,,1224.055349,1200
245174789,Tournai (Doornik),Äglise Saint Piat,900-1000,400,600,1,1.879,319.3187866,,900,100,,,319.3187866,400
