1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,Department,Latitude,Longitude,Monument,Priority,Region,id,name
,,,,,,,,,,,,,,,,,,,,Aisne,49.394,3.6308,Saint-Jean-Baptiste,4,Soissonais,Synopsis.php?id=PONT-A,Pont-Arcy 
,,,,,,,,,,,,,,,,,,,,Seine-Maritime,49.545,0.1928,Saint-Joseph,4,Outliers,Synopsis.php?id=MONTIVIL,Montivilliers 
,,,,,,,30.0,,,38.0,,,,,,,,,,Seine-et-Marne,48.371,2.8220,Saint-Loup,3,Provinois,Synopsis.php?id=PONT-L,Pont-Loup 
,,,,,,,,,,,,,,,,,,,,Marne,49.244,3.7815,Saint-Martin,4,Reimois,Synopsis.php?id=SAVIGN-A,Savigny-sur-Ardres 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.393,2.8250,Saint-Pierre,4,Provinois,Synopsis.php?id=CELLE-S,"Celle-sur-Seine, La "
,,,,,,,,,,,,,,,,,,,,Yonne,48.183,3.4440,La Nativité,4,Yonne,Synopsis.php?id=PONT-V,Pont-sur-Vanne 
,,,,,,,,,22.0,280.0,200.0,280.0,180.0,90.0,200.0,180.0,,24.0,,Yvelines,48.990,1.7202,Notre-Dame,1,Meulanois,Synopsis.php?id=MANTES-J,Mantes-la-Jolie 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.298,2.9393,Saint-Pierre,4,Yonne,Synopsis.php?id=THOURY-F,Thoury-Ferottes 
,,,,,,,,,,,,,,,,16.0,35.0,,,Seine-et-Marne,48.599,2.5597,Saint-Germain-d'Auxerre,3,Parisis,Synopsis.php?id=SAVIGN-T,Savigny-le-Temple 
,,,,,,,,,,,,,68.0,18.0,,,,,,Seine-et-Marne,48.669,3.2832,Saint-Martin,2,Brie,Synopsis.php?id=CHAMPCEN,Champcenest 
,,,,,,,,,,,,,,,,,,,,Marne,48.875,4.3098,Saint-Étienne,4,Châlonais,Synopsis.php?id=NUISEMEN,Nuisement-sur-Coole 
,,,,,,,,,,40.0,18.0,30.0,,,,,,,,Aisne,49.357,3.8375,Saints-Cyr-et-Julitte,3,Soissonais,Synopsis.php?id=GUYENCOU,Guyencourt 
,,,,,,,,,,,,,,,,,,,,Oise,49.197,2.2076,Saint-Denis,4,Therain,Synopsis.php?id=BORNEL,Bornel 
,,,,,,,,,,,,,,,,,,,,Aisne,49.738,3.7372,Saint-Médard,4,Laonnois,Synopsis.php?id=MARCY-M,Marcy-sous-Marle 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.386,2.9583,Notre-Dame-et-Saint-Loup,4,Provinois,Synopsis.php?id=MONTEREA,Montereau-Faut-Yonne 
,,,,,,,,,,,22.0,,,,,,,,,Oise,49.319,2.5511,Notre-Dame-de-l'Assomption,2,Therain,Synopsis.php?id=MONCEAUX,Monceaux 
34.0,35.0,25.0,,,,,,,24.0,30.0,,,,,,25.0,12.0,18.0,,Aisne,49.168,3.3541,Notre-Dame-de-l'Assomption,2,Soissonais,Synopsis.php?id=CROIX-O,"Croix-sur-Ourcq, La "
,,,,,,,,20.0,,56.0,,25.0,56.0,,,,22.0,,,Aisne,49.223,3.4147,Saint-Pierre,3,Soissonais,Synopsis.php?id=BEUGNEUX,Beugneux 
,,,,,,,,,,280.0,100.0,200.0,140.0,300.0,240.0,163.0,,,,Oise,49.582,3.0007,La Nativité,1,Noyonnais,Synopsis.php?id=NOYON,Noyon 
,,,,,,,18.0,18.0,,,,,53.0,30.0,,55.0,,,,Seine-et-Marne,48.593,3.0762,Saint-Loup-de-Sens,2,Provinois,Synopsis.php?id=CROIX-B,"Croix-en-Brie, La "
,,,,,,,,,,,,,,,,,,,,Marne,48.952,3.7353,Saint-Remi,4,Marne,Synopsis.php?id=SUIZY-F,Suizy-le-Franc 
,,,,,,,,,,,,,101.0,68.0,91.0,,,,,Oise,49.189,2.4158,Sainte-Geneviève,2,Senlisis,Synopsis.php?id=GOUVIEUX,Gouvieux 
,,,,,,,,,,,,,,,,,,,,Marne,48.805,3.9112,Saint-Vaast,4,Châlonais,Synopsis.php?id=BANNES,Bannes 
,,,,,,,,,5.0,,,40.0,,,,,18.0,8.0,,Aisne,49.074,3.5060,Saint-Caprais,3,Marne,Synopsis.php?id=CHARTEVE,Charteves 
,,,,,,,,,,,,,,,,,,,,Eure-et-Loir,48.223,1.6390,Saint-Julien,4,Perche,Synopsis.php?id=FAINS-F,Fains-le-Folie 
,,,,,,,,,,,,,,,,,,160.0,,Seine-et-Marne,48.518,2.6321,Notre-Dame,3,Parisis,Synopsis.php?id=DAMMARIE,Dammarie-les-Lys 
,,,,,,,,,,,,,,,,,,,,Aisne,49.498,3.7913,Saint-Nicolas,4,Laonnois,Synopsis.php?id=AUBIGNY,Aubigny-en-Laonnois 
,,,,,,,,,,,,,,,,,,,,Oise,49.259,2.9686,Saint-Laurent,4,Soissonais,Synopsis.php?id=BEMONT,Bemont 
,,,,,,,,,45.0,15.0,,,,,,,,,,Marne,49.341,3.7985,Saint-Remi,2,Soissonais,Synopsis.php?id=VENTELAY,Ventelay 
,,,,,,,58.0,36.0,,,,,,,,,32.0,34.0,,Oise,49.262,2.0673,Saint-Crépin,2,Vexin,Synopsis.php?id=S-CREPIN,Saint-Crepin-Ibouvillers 
,,,,,,,,,,,,,,,,,,,,Yvelines,48.803,1.6693,Saint-Nicolas,4,Perche,Synopsis.php?id=BAZAINVI,Bazainville 
,,,,,,43.0,12.0,12.0,,30.0,,,36.0,,,,,,,Aisne,49.202,3.3898,Saints-Crépin-et-Crépinien,3,Soissonais,Synopsis.php?id=CUGNY-C,Cugny-les-Crouttes 
,,,,,,,38.0,14.0,,,,45.0,,,,,,,,Aisne,49.234,3.0422,Notre-Dame,3,Soissonais,Synopsis.php?id=COYOLLES,Coyolles 
,,,,,,,,,,,,,,,,,,,,Aisne,49.377,3.7881,Saints-Pierre-et-Paul,4,Soissonais,Synopsis.php?id=CONCEVRE,Concevreux 
,,,,,,,,,,,,,,,,,,,,Marne,49.717,4.7814,Saint-Remi,4,Outliers,Synopsis.php?id=SCRUPT,Scrupt 
,,,,,,,,,,,,48.0,18.0,,,,,,,Aisne,48.883,3.4851,Saint-Martin,2,Marne,Synopsis.php?id=MARCHAIS,Marchais-en-Brie 
,,,,,,,,,,,,,,,,,,,,Marne,49.276,3.8903,Saint-Symphorien,4,Reimois,Synopsis.php?id=MUIZON,Muizon 
,,,,,,,,,,,,,,,,,,,,Aisne,49.439,3.7885,Saint-Martin,4,Soissonais,Synopsis.php?id=CRAONNE,Craonne 
,,30.0,,,16.0,,,,,,,,,,,,,,,Oise,49.205,2.5820,Saint-Aignan,3,Senlisis,Synopsis.php?id=SENLIS-A,Senlis 
,,,,,,,,,,56.0,,16.0,,,,,,,,Aisne,49.184,3.3852,Saint-Martin,3,Soissonais,Synopsis.php?id=ARMENTIE,Armentieres-sur-Ourcq 
,,,,,,,,,,,,,,33.0,,,,,,Aisne,49.220,3.1368,Saint-Martin,3,Soissonais,Synopsis.php?id=OIGNY-V,Oigny-en-Valois 
