Year,Real GDP (1700 =100),,,,,Nominal GDP (mln £),,Price Index (1700=100),,,,,Population (1700=100),pop,rurpop,"Urbanisation as in De Vries, qouted in Tsoulouhas",
,Agriculture,Industry,Services,real_gdp,,nom_gdp,,Agriculture,Industry,Services,gdp_deflator,,population_index,population,,,
,,,,,,,,,,,,,,,,,
1549,56.72,31.7,32.03,39.02,,8.35,,33.26,39.94,27.62,32.47,,57.38,2974727.534,,,
1550,54.61,32.49,32.32,38.98,,10.17,,41.06,48.62,32.88,39.59,,58.14,3014302.692,,,
1551,54.35,31.25,32.24,38.36,,11.54,,49.72,54.74,36.13,45.62,,58.99,3058533.75,,,
1552,49.03,31.73,31.55,36.8,,9.48,,42.75,44.68,33.79,39.05,,59.42,3080533.032,,,
1553,68.96,33.25,31.33,43.22,,10.2,,34.81,45.12,31.53,35.79,,59.87,3103859.435,,,
1554,57.94,32.35,31.2,39.57,,9.21,,33.62,45.06,31.31,35.29,,60.39,3131169.197,,,
1555,59.07,31.37,31.01,39.44,,10.59,,44.05,48.13,33.89,40.74,,60.85,3154782.977,3037109.572,3.73,
1556,41.51,27.18,30.7,32.46,,10.45,,58.93,53.35,37.74,48.85,,61.83,3205551.854,,,
1557,51.61,27.67,30.24,35.49,,12.81,,70.05,56.71,40.76,54.75,,61.68,3198037.154,,,
1558,80.09,30.74,30.01,45.06,,11.54,,37.02,50.45,33.25,38.85,,60.31,3126974.296,,,
1559,66.97,31,29.99,41.31,,10.65,,40.3,47.79,33.22,39.11,,58.45,3030169.276,,,
1560,60.26,35.46,30.12,41.23,,11.78,,41.85,54.17,39.27,43.33,,58.03,3008692.86,,,
1561,64.38,34.63,30.19,42.12,,12.78,,45.67,56.42,41.52,46.04,,58.43,3029117.557,,,
1562,64.27,34.75,30.41,42.2,,12.71,,48.31,52.78,41.3,45.67,,59.07,3062699.714,,,
1563,76.97,35.27,30.82,46.27,,14.25,,47.59,56.15,41.85,46.72,,59.65,3092837.343,,,
1564,72.54,34.36,31.32,44.73,,13.97,,49.59,55.63,42.26,47.35,,59.87,3103974.186,,,
1565,73.08,34.55,32.04,45.18,,12.77,,41.52,52.4,40.4,42.88,,60.61,3142387.863,3010721.811,4.19,
1566,87.57,37.55,32.82,50.91,,14.88,,44.11,53.52,40.99,44.34,,61.08,3166644.248,,,
1567,78.28,37.08,33.11,48.07,,14.19,,46.23,53.09,40.23,44.77,,61.75,3201433.787,,,
1568,81.58,35.43,33.56,48.49,,14.44,,47.29,52.47,41.21,45.18,,62.6,3245305.624,,,
1569,77.67,38.08,33.5,48.43,,14.41,,48.02,51.95,40.74,45.14,,63.03,3267653.151,,,
1570,66.22,38.05,32.25,44.68,,13.19,,42.63,55.34,42.39,44.77,,63.44,3289069.696,,,
1571,68.4,37.24,31.85,44.87,,12.49,,38.09,54.04,40.49,42.23,,63.71,3303054.362,,,
1572,61.97,38.64,32.23,43.67,,13.35,,45.89,56.03,43.14,46.37,,64.31,3334116.984,,,
1573,79.48,41.45,32.92,50.19,,16.45,,47.85,62.61,44.57,49.7,,64.68,3353317.337,,,
1574,60.39,41.29,33.07,44.55,,16.01,,58.02,64.62,46.38,54.51,,65.07,3373486.588,,,
1575,76.04,42.72,33.77,49.95,,15.85,,49.42,56.7,44.2,48.14,,65.69,3405913.251,3247538.285,4.65,
1576,81.11,43.51,34.15,51.88,,16.8,,47.89,61.45,43.73,49.11,,66.36,3440482.268,,,
1577,56.58,42.72,34.32,44.39,,14.74,,53.88,57.79,45.21,50.36,,67.17,3482647.807,,,
1578,77.66,43.34,34.95,51.03,,16.53,,52.13,56.98,43.92,49.14,,67.89,3519720.393,,,
1579,78.73,41.37,35.1,50.57,,15.65,,48.69,54.4,43.65,46.94,,68.52,3552610.052,,,
1580,70.71,41.24,35.38,48.24,,15.91,,46.8,62.2,48.12,50.04,,69.33,3594288.647,,,
1581,70.45,38.02,35.53,46.87,,16.66,,54.12,64.34,50.23,53.93,,69.89,3623581.109,,,
1582,61.15,33.37,35.74,42.27,,14.64,,54.1,60.41,50.08,52.52,,70.66,3663292.97,,,
1583,80.89,33.35,36.34,48.23,,16.85,,52.12,63.38,50.77,53,,71.63,3713458.157,,,
1584,76.78,32.97,36.6,46.95,,15.94,,51.29,60.53,49.95,51.52,,72.52,3760088.013,,,
1585,58.62,32.4,36.57,41.36,,14.44,,52.31,63.31,50.39,52.96,,73.09,3789576.05,3595928.714,5.11,
1586,49.4,36.79,37.15,40.65,,15.66,,68.83,59.89,53.37,58.45,,73.92,3832334.304,,,
1587,67.33,34.9,37.45,45.22,,16.93,,65.5,58.64,53.31,56.8,,74.28,3851029.751,,,
1588,81.57,37.83,37.81,50.72,,17.56,,53.31,61.01,50.42,52.53,,74.03,3838310.341,,,
1589,63.15,36.21,37.99,44.69,,15.97,,54.59,63.75,51.55,54.21,,74.78,3877016.384,,,
1590,70.94,37.63,38.84,47.81,,18.59,,67.45,61.13,55.9,58.99,,75.72,3925744.688,,,
1591,63.68,43.39,39.19,48.18,,19.19,,70.42,61.67,56.58,60.41,,75.79,3929321.928,,,
1592,74.74,44.57,39.77,52.09,,19.13,,58.29,62.36,54.23,55.71,,75.93,3936490.379,,,
1593,85.07,44.44,40.02,55.14,,20.71,,59.46,63.77,55.65,56.96,,75.89,3934594.492,,,
1594,55.12,41.62,39.95,45.15,,18.13,,68.08,64.71,57.77,60.91,,76.58,3970475.662,,,
1595,57.96,40.46,40.53,45.67,,20.56,,84.93,66.34,60.73,68.27,,77.53,4019504.314,3795617.924,5.57,
1596,51.6,39.91,40.76,43.64,,20.94,,92.03,70.44,62.89,72.78,,78.07,4047793.951,,,
1597,45.74,39.36,40.57,41.64,,21.76,,106.61,71.66,66.29,79.28,,78.04,4046006.828,,,
1598,65.6,43.48,41,49.31,,22.94,,88.84,67.79,62.33,70.57,,77.54,4019911.431,,,
1599,85.69,46.43,41.95,56.71,,23.38,,70.34,66.75,58.18,62.53,,78.24,4056627.79,,,
1600,76,47.16,42.3,54.28,,23.28,,74.13,67.78,61.45,65.05,,79.2,4105984.73,,,
1601,72.58,49.16,42.86,54.26,,23.23,,77.67,63.78,61.46,64.94,,80.1,4152777.233,,,
1602,79.79,50.51,43.81,57.22,,24.83,,71.2,72.19,62.68,65.81,,80.6,4178591.24,,,
1603,89.58,51.7,44.31,60.74,,24.73,,65.53,67.61,60.93,61.76,,81.02,4200298.155,,,
1604,99.63,53.82,44.92,64.75,,27.43,,69.85,69.25,62.46,64.25,,81.21,4210344.364,,,
1605,80.43,51.94,45.07,58.37,,25.26,,74.41,68.27,62.78,65.63,,82.19,4260990.508,4001070.087,6.1,
1606,84.98,55.87,45.89,61.58,,28.2,,73.07,79.16,65.02,69.47,,82.96,4301090.527,,,
1607,76.9,49.35,45.86,56.49,,25.62,,72.79,77.68,64.82,68.8,,83.93,4351570.032,,,
1608,67.63,49.55,46.11,53.92,,27.56,,94.19,78.69,67.59,77.54,,84.65,4388708.475,,,
1609,95.61,50.18,47.16,62.71,,31.75,,89.62,81.21,67.64,76.78,,85.36,4425792.038,,,
1610,108.48,50.2,47.54,66.61,,31.41,,78.44,76.18,69.87,71.54,,85.63,4439505.292,,,
1611,91.87,49.33,47.49,61.36,,28.66,,80.16,72.57,69.66,70.86,,86.15,4466621.475,,,
1612,92.21,43.09,47.23,58.78,,28.97,,88.93,73.68,71.08,74.75,,86.58,4488573.858,,,
1613,80.75,46.16,47.72,56.84,,28.95,,91.68,77.55,71.78,77.25,,86.96,4508505.624,,,
1614,73.38,46.39,47.88,54.81,,28.29,,94.47,77.15,72.46,78.29,,86.96,4508548.531,,,
1615,86.31,48.79,48.23,59.71,,29.56,,91.86,71.72,70.9,75.09,,87.63,4543255.249,4252486.913,6.4,
1616,76.45,48.62,47.54,56.54,,28.45,,91.83,74.74,71.78,76.33,,87.93,4558524.129,,,
1617,93.48,50.19,48.3,62.42,,31.82,,93.4,75.93,71.79,77.31,,88.03,4563725.846,,,
1618,93.04,50.28,48.78,62.47,,31.98,,90.41,79.22,72.97,77.66,,88.59,4592892.581,,,
1619,82.66,45.89,48.47,57.5,,28.03,,82.43,77.12,72.45,73.93,,89.41,4635607.927,,,
1620,110.7,49.02,49.65,67.39,,31.13,,76.49,73.49,70.54,70.07,,90.24,4678541.799,,,
1621,104.88,53.72,50.31,67.82,,31.74,,79.86,73.37,69.53,71,,91.32,4734701.983,,,
1622,81.19,50.56,50.33,59.56,,30.97,,96.03,76.81,73.08,78.88,,92.94,4818560.086,,,
1623,75.74,53.66,50.98,59.43,,30.18,,99.66,68.77,71.56,77.04,,93.53,4848961.144,,,
1624,101.32,53.61,51.6,67.11,,33.27,,91,72.33,71.75,75.19,,92.95,4819092.931,,,
1625,101.53,54.46,52.02,67.65,,34.81,,95.47,75.35,72.62,78.06,,92.8,4811148.164,4488801.237,6.7,
1626,93.24,52.66,51.39,64.28,,33.25,,96.71,74.92,73.09,78.47,,91.65,4751647.227,,,
1627,97.66,50.43,52.05,64.84,,32.1,,86.74,76.66,71.53,75.1,,92.32,4786180.321,,,
1628,121.87,54.16,54.98,74.36,,36.53,,83.76,77.75,71.98,74.51,,94.23,4885593.684,,,
1629,67.8,47.84,53.81,55.51,,28.86,,92.77,79.85,73.53,78.87,,95.73,4963146.465,,,
1630,65.43,47.91,53.63,54.79,,31.68,,108.44,84.15,80.61,87.72,,95.45,4948693.814,,,
1631,68.06,48.52,53.43,55.75,,34.29,,117.45,88.85,83.5,93.3,,94.81,4915659.469,,,
1632,88.42,51.15,55.51,63.44,,36.47,,103.46,87.36,81.31,87.2,,96.02,4978244.715,,,
1633,76.48,50.8,55.83,59.88,,33.9,,104.54,82.9,80.64,85.89,,98.43,5103338.375,,,
1634,84.72,47.69,56.99,61.34,,36.08,,111.09,84.46,82.38,89.21,,99.63,5165429.693,,,
1635,89.91,48.99,58.16,63.75,,36.87,,107.87,84.19,81.44,87.72,,100.08,5188630.369,4825426.243,7,
1636,82.76,46.85,57.59,60.6,,33.74,,102.13,81.79,79.97,84.47,,97.96,5078809.581,,,
1637,78.69,47.27,58.43,59.82,,36,,115.82,85.36,82.64,91.29,,100,5184604.102,,,
1638,87.36,54.39,58.8,65.43,,39.93,,119.03,85.01,83.64,92.57,,99.37,5151949.932,,,
1639,95.54,51.35,59.01,66.63,,38.23,,103.88,86.07,81.8,87.02,,100.22,5196142.075,,,
1640,102.13,50.69,59.38,68.4,,36.26,,87.95,88.69,74.45,80.41,,100.26,5198005.034,,,
1641,75.77,50.08,58.02,60.01,,34.02,,100.16,90.11,77.22,85.98,,98.74,5119019.362,,,
1642,91.4,52.88,59.67,66.25,,35.28,,92.9,84.32,74.85,80.78,,99.94,5181543.74,,,
1643,104.04,54.05,61.27,70.91,,39.15,,93.06,91.32,76.82,83.74,,101.41,5257572.826,,,
1644,109.12,51.02,60.93,71.05,,39.73,,95.83,91.16,77.46,84.84,,100.42,5206583.427,,,
1645,82.59,47.93,60.49,61.84,,34.58,,94.63,92.02,77.91,84.81,,100.99,5235657.363,4853454.375,7.3,
1646,82.98,48.3,60.83,62.21,,35.67,,99.86,91.98,79.13,86.98,,100.68,5219917.504,,,
1647,81.12,50.32,62.02,62.85,,42.37,,138.76,91.6,84.84,102.26,,102.31,5304177.736,,,
1648,82.58,50.79,62.42,63.59,,44.5,,140,100.36,86.55,106.15,,102.18,5297676.837,,,
1649,74.4,52.71,64.34,62.55,,44.87,,146.14,101.56,86.68,108.82,,102.3,5303879.383,,,
1650,63.6,53.2,65.57,59.93,,40.43,,137.66,91.99,86.17,102.32,,102.24,5300844.965,,,
1651,71.53,54.48,67.65,63.25,,41.47,,124.56,94.2,85.28,99.45,,102.16,5296489.412,,,
1652,92.83,60.4,70.63,72.33,,44.58,,111.62,90.69,81.95,93.48,,103.76,5379625.083,,,
1653,114.81,64.82,72.69,80.68,,49.09,,97.32,96.98,82.04,92.29,,103.65,5374051.174,,,
1654,107.94,66.19,71.07,78.9,,45.06,,80.14,95.94,80.03,86.64,,102.26,5301695.121,,,
1655,118.9,68.79,72.86,83.47,,47.78,,76.29,99.04,79.83,86.82,,103.89,5386011.231,4995525.417,7.25,
1656,104.93,63.33,71.88,77.17,,46.45,,94.15,96.09,82.74,91.3,,103.75,5379097.228,,,
1657,92.41,61.22,71.06,72.69,,44.1,,101.29,93.41,82.52,92.03,,103.83,5383315.079,,,
1658,82.11,63.63,70.1,70.63,,45.46,,114.97,96.32,84.87,97.63,,102.4,5308793.723,,,
1659,64.32,49.73,67.16,59.2,,38.53,,117.38,96.11,86.5,98.71,,101.36,5255106.177,,,
1660,78.26,53.7,67.21,64.58,,41.22,,111.19,93.5,89.12,96.82,,100.96,5234414.06,,,
1661,76.64,58.57,67.72,66.32,,44.78,,125.25,95.8,91.93,102.42,,101.62,5268308.539,,,
1662,82.87,58.22,66.87,67.57,,45.56,,128.08,94.29,91.08,102.28,,100.17,5193402.019,,,
1663,95.61,76.15,68.82,79,,49.7,,111.56,90.4,88.49,95.44,,99.49,5158085.623,,,
1664,88.2,71.1,68.39,74.8,,47.15,,106.25,94.21,88.55,95.61,,100.94,5233530.975,,,
1665,97.14,70.34,69.21,77.13,,47.88,,96.63,97.23,88.15,94.16,,99.78,5173101.053,4671310.251,9.7,
1666,121.42,76.79,71.76,87.1,,52.12,,86.07,97.28,86.3,90.77,,100.64,5217916.844,,,
1667,116.64,81.39,71.05,87.49,,52.65,,86.62,97.46,87.17,91.28,,98.28,5095352.697,,,
1668,91.39,76.79,70.87,78.79,,45.83,,85.91,91.97,85.36,88.24,,100.18,5193956.815,,,
1669,100.45,75.04,71.75,80.77,,49.89,,102.03,92.98,87.64,93.68,,100.09,5189214.103,,,
1670,91.49,75.14,71.57,78.36,,46.82,,92.56,89.24,90.78,90.62,,99.95,5182117.496,,,
1671,87.96,70.42,71.36,75.4,,44.85,,94.17,87.6,90.3,90.22,,99.29,5147756.029,,,
1672,82.17,71.54,72.22,74.6,,44.95,,94.06,90.44,90.44,91.41,,98.94,5129755.075,,,
1673,83.8,73.91,73.88,76.54,,47.98,46.66,96.53,96.04,92.66,95.09,,99.54,5160669.02,,,
1674,75.26,70.72,74.29,73.07,,47.71,48.03,118.88,90.08,94.05,99.04,,99.83,5175746.316,,,
1675,75.92,74.18,75.24,74.98,,47.79,49.07,106.31,92.62,93.89,96.68,,99.83,5175825.145,4650478.892,10.15,
1676,111.42,82.71,77.2,88.61,,51.72,49.87,84.54,90.02,89.93,88.53,,99.78,5173342.53,,,
1677,88.73,82.29,76.67,82.21,,50.15,50.12,98.16,89.61,91.62,92.53,,99.95,5181821.139,,,
1678,100.48,81.69,77.88,85.49,,51.95,51.27,99.59,88.42,90.87,92.19,,100.27,5198372.238,,,
1679,87.12,76.39,77.38,79.57,,49,50.99,103.45,88.84,90.94,93.41,,99.97,5183026.524,,,
1680,111.49,82.22,79.1,89.03,,53.54,51.38,93.65,88.19,93.1,91.22,,99.44,5155602.011,,,
1681,85.06,78.41,77.45,79.88,,50.3,52.02,103.69,90.53,95.14,95.52,,98.33,5097973.013,,,
1682,91.73,82.59,76.95,83.23,,52.11,51.57,101.22,90.53,95.51,94.98,,95.51,4951611.485,,,
1683,108.93,86.55,77.86,89.75,,55.12,51.49,100.3,87.6,94.39,93.16,,95.29,4940125.4,,,
1684,81.56,71.4,74.37,75.06,,46.78,50.61,104.52,87.68,95.06,94.54,,95.15,4933176.473,,,
1685,98.04,77.46,76.13,82.53,,53.15,49.96,108.43,91.46,96.79,97.69,,96.46,5001228.861,4471098.601,10.6,
1686,80.69,74.59,75.77,76.6,,45.88,49.21,92.01,87.56,94.16,90.86,,96.93,5025195.874,,,
1687,105.64,76,77.09,84.26,,48.85,50.15,86.45,85.6,92.22,87.95,,95.82,4967953.039,,,
1688,105.74,88.62,78.73,90.03,,51.4,50.23,80.28,87.29,90.99,86.6,,95.19,4935129.237,,,
1689,96.85,87.98,80.25,87.87,,51.45,51.9,77.84,91.54,94.43,88.81,,97.06,5032020.071,,,
1690,109.32,92.65,82.36,93.81,,53.55,54.71,78.58,88.87,90.35,86.6,,96.99,5028387.95,,,
1691,114.95,91.36,84.31,95.4,,54.25,55.8,79.31,88.39,89.29,86.25,,98.04,5082725.088,,,
1692,129.66,97.69,88.2,103.19,,62.89,59.02,95.68,90.84,91.8,92.44,,98.11,5086540.811,,,
1693,87.62,88.55,86.96,87.79,,56.87,60.92,110.51,93.28,94.48,98.26,,98.57,5110229.428,,,
1694,132.31,95.93,91.68,104.28,,67.55,62.98,107.58,94.58,95.24,98.26,,98.34,5098516.834,,,
1695,112.55,96.84,92.86,99.76,,63.06,63.71,99.69,95.3,93.46,95.88,,98.34,5098648.548,4535247.883,11.05,
1696,101.42,92.86,94.07,95.53,,64.55,66.36,111.55,101.02,96.8,102.48,,98.51,5107354.664,,,
1697,100.49,91.21,94.85,94.85,,66.53,65.53,114.97,107.43,97.89,106.39,,99.12,5138868.308,,,
1698,101.57,95.47,97.09,97.62,,70.11,66.1,126.33,105.55,98.82,108.94,,99.64,5166110.217,,,
1699,87.48,95.4,97.99,94.11,,63.4,,117.29,97.53,95.56,102.18,,99.89,5178915.442,,,
1700,100,100,100,100,,65.93,,100,100,100,100,,100,5184559.2,,,
