osmid,cause,year,earthquake,war,fire,other_natural,other
24971631,fire,1075,FALSE,FALSE,TRUE,FALSE,FALSE
27596761,fire,1070,FALSE,FALSE,TRUE,FALSE,FALSE
43705671,fire,1330,FALSE,FALSE,TRUE,FALSE,FALSE
27626748,fire,1075,FALSE,FALSE,TRUE,FALSE,FALSE
229221671,earthquake,1169,TRUE,FALSE,FALSE,FALSE,FALSE
229221672,earthquake,1169,TRUE,FALSE,FALSE,FALSE,FALSE
122982019,tower collapsed,1349,FALSE,FALSE,FALSE,FALSE,TRUE
131997423,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
131997783,roof collapsed,1491,FALSE,FALSE,FALSE,FALSE,TRUE
131977001,magyars,900,FALSE,TRUE,FALSE,FALSE,FALSE
131798543,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
25683090,fire,1477,FALSE,FALSE,TRUE,FALSE,FALSE
179584053,fire,780,FALSE,FALSE,TRUE,FALSE,FALSE
334063704,fire,1004,FALSE,FALSE,TRUE,FALSE,FALSE
461216601,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
103565431,flood destroys façade,1120,FALSE,FALSE,FALSE,TRUE,FALSE
122951323,flood destroys façade,1120,FALSE,FALSE,FALSE,TRUE,FALSE
61682813,fire,1108,FALSE,FALSE,TRUE,FALSE,FALSE
253315225,earthquake,725,TRUE,FALSE,FALSE,FALSE,FALSE
6123095,collapse tower,1228,FALSE,FALSE,FALSE,FALSE,TRUE
120854225,plundering by normans,1084,FALSE,TRUE,FALSE,FALSE,FALSE
375936632,plundering by normans,1084,FALSE,TRUE,FALSE,FALSE,FALSE
275036771,saracens,884,FALSE,TRUE,FALSE,FALSE,FALSE
28396159,damaged by fire,1443,FALSE,FALSE,TRUE,FALSE,FALSE
546017,only partial collapse,1357,FALSE,FALSE,FALSE,FALSE,TRUE
127505742,fire,1329,FALSE,FALSE,TRUE,FALSE,FALSE
227783056,earthquake,1456,TRUE,FALSE,FALSE,FALSE,FALSE
36686387,earthquake,1348,TRUE,FALSE,FALSE,FALSE,FALSE
138804512,fire,1106,FALSE,FALSE,TRUE,FALSE,FALSE
142022351,fire,1474,FALSE,FALSE,TRUE,FALSE,FALSE
138843126,fire,889,FALSE,FALSE,TRUE,FALSE,FALSE
286784078,fire,1105,FALSE,FALSE,TRUE,FALSE,FALSE
162035005,fire,1105,FALSE,FALSE,TRUE,FALSE,FALSE
138803921,fire,1214,FALSE,FALSE,TRUE,FALSE,FALSE
138800730,fire,1120,FALSE,FALSE,TRUE,FALSE,FALSE
138800932,fire,976,FALSE,FALSE,TRUE,FALSE,FALSE
82261510,fire,997,FALSE,FALSE,TRUE,FALSE,FALSE
170355986,earthquake,1350,TRUE,FALSE,FALSE,FALSE,FALSE
138809135,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
288170289,magyars,920,FALSE,TRUE,FALSE,FALSE,FALSE
138894828,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
413343141,fire,1420,FALSE,FALSE,TRUE,FALSE,FALSE
423593733,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
517923149,earthquake,1349,TRUE,FALSE,FALSE,FALSE,FALSE
510802785,earthquake,1349,TRUE,FALSE,FALSE,FALSE,FALSE
503078651,earthquake,1461,TRUE,FALSE,FALSE,FALSE,FALSE
496723141,earthquake,1349,TRUE,FALSE,FALSE,FALSE,FALSE
124813346,earthquake,1349,TRUE,FALSE,FALSE,FALSE,FALSE
447863567,tower collapsed,1456,FALSE,FALSE,FALSE,FALSE,TRUE
325434925,earthquake,1122,TRUE,FALSE,FALSE,FALSE,FALSE
411138839,earthquake,1456,TRUE,FALSE,FALSE,FALSE,FALSE
122982019,earthquake,1450,TRUE,FALSE,FALSE,FALSE,FALSE
131977001,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
179584053,fire,1055,FALSE,FALSE,TRUE,FALSE,FALSE
334063704,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
61682813,earthquake,1298,TRUE,FALSE,FALSE,FALSE,FALSE
28396159,damaged by fire,1456,FALSE,FALSE,TRUE,FALSE,FALSE
138843126,fire,1106,FALSE,FALSE,TRUE,FALSE,FALSE
288170289,earthquake,1117,TRUE,FALSE,FALSE,FALSE,FALSE
138894828,plunder,1236,FALSE,TRUE,FALSE,FALSE,FALSE
