osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
132077614,Alessandria,Cattedrale dei Santi Pietro e Marco,year,,,cathedral,,,,1170,1175,1288,1297,,,,,,,,,,,
132077614,Alessandria,Cattedrale dei Santi Pietro e Marco,surface,,,cathedral,,,,0,2000,0,2500,,,,,,,,,,,
132077614,Alessandria,Cattedrale dei Santi Pietro e Marco,height,,,cathedral,,,,23,23,25,25,,,,,,,,,,,
132077614,Alessandria,Cattedrale dei Santi Pietro e Marco,m3,,,cathedral,,,,,,,,,,,,,,,,,,
132077614,Alessandria,Cattedrale dei Santi Pietro e Marco,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
279263535,Alghero,Chiesa di San Michele,1117.106339,it.wikipedia.org/wiki/Chiesa_di_San_Michele_(Alghero),http://www.openstreetmap.org/way/279263535,parish,,40.55722947,8.314408435,x,x,x,x,x,x,x,x,x,x,x,x,x,,
279263535,Alghero,Chiesa di San Michele,year,,,parish,,,,1350,1364,,,,,,,,,,,,,
279263535,Alghero,Chiesa di San Michele,surface,,,parish,,,,0,900,,,,,,,,,,,,,
279263535,Alghero,Chiesa di San Michele,height,,,parish,,,,17,17,,,,,,,,,,,,,
279263535,Alghero,Chiesa di San Michele,m3,,,parish,,,,,,,,,,,,,,,,,,
279263535,Alghero,Chiesa di San Michele,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
410903032,Altamura,Cattedrale Santa Maria Assunta,1382.461654,it.wikipedia.org/wiki/Cattedrale_di_Santa_Maria_Assunta_(Altamura),http://www.openstreetmap.org/way/410903032,cathedral,,40.82741421,16.55280039,x,x,x,x,x,x,x,x,x,x,x,x,x,,
410903032,Altamura,Cattedrale Santa Maria Assunta,year,,,cathedral,,,,1232,1264,1316,1320,,,,,,,,,,,
410903032,Altamura,Cattedrale Santa Maria Assunta,surface,,,cathedral,,,,0,1300,,300,,,,,,,,,,,
410903032,Altamura,Cattedrale Santa Maria Assunta,height,,,cathedral,,,,21,21,21,21,,,,,,,,,,,
410903032,Altamura,Cattedrale Santa Maria Assunta,m3,,,cathedral,,,,,,,,,,,,,,,,,,
410903032,Altamura,Cattedrale Santa Maria Assunta,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
166002162,Amalfi,Basilica di Santa Trofimena,1131.919568,it.wikipedia.org/wiki/Basilica_di_Santa_Trofimena,http://www.openstreetmap.org/way/166002162,cathedral,,40.65038418,14.62794078,x,x,x,x,x,x,x,x,x,x,x,x,x,,
166002162,Amalfi,Basilica di Santa Trofimena,year,,,cathedral,,,,987,1020,,,,,,,,,,,,,
166002162,Amalfi,Basilica di Santa Trofimena,surface,,,cathedral,,,,0,900,,,,,,,,,,,,,
166002162,Amalfi,Basilica di Santa Trofimena,height,,,cathedral,,,,17,17,,,,,,,,,,,,,
166002162,Amalfi,Basilica di Santa Trofimena,m3,,,cathedral,,,,,,,,,,,,,,,,,,
166002162,Amalfi,Basilica di Santa Trofimena,guestimate,,,cathedral,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
99684738,Amalfi,Duomo di Ravello,1168.958114,it.wikipedia.org/wiki/Duomo_di_Ravello,http://www.openstreetmap.org/way/99684738,cathedral,,40.64933695,14.61208834,x,x,x,x,x,x,x,x,x,x,x,x,x,,
99684738,Amalfi,Duomo di Ravello,year,,,cathedral,,,,1086,1100,,,,,,,,,,,,,
99684738,Amalfi,Duomo di Ravello,surface,,,cathedral,,,,0,1200,,,,,,,,,,,,,
99684738,Amalfi,Duomo di Ravello,height,,,cathedral,,,,19,19,,,,,,,,,,,,,
99684738,Amalfi,Duomo di Ravello,m3,,,cathedral,,,,,,,,,,,,,,,,,,
99684738,Amalfi,Duomo di Ravello,guestimate,,,cathedral,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
