osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
123379240,Cortona,Basilica di Santa Margherita,1561.511545,it.wikipedia.org/wiki/Basilica_di_Santa_Margherita,http://www.openstreetmap.org/way/123379240,conventual,1,43.27647753,11.9923375,x,x,x,x,x,x,x,x,x,x,x,x,x,,
123379240,Cortona,Basilica di Santa Margherita,year,,,conventual,1,,,1298,1304,,,,,,,,,,,,,
123379240,Cortona,Basilica di Santa Margherita,surface,,,conventual,1,,,0,1400,,,,,,,,,,,,,
123379240,Cortona,Basilica di Santa Margherita,height,,,conventual,1,,,19,19,,,,,,,,,,,,,
123379240,Cortona,Basilica di Santa Margherita,m3,,,conventual,1,,,,,,,,,,,,,,,,,
123379240,Cortona,Basilica di Santa Margherita,guestimate,,,conventual,1,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
120661948,Cosenza,Duomo,1486.919811,it.wikipedia.org/wiki/Duomo_di_Cosenza,http://www.openstreetmap.org/way/120661948,cathedral,,39.28886231,16.26018714,x,x,x,x,x,x,x,x,x,x,x,x,x,,
120661948,Cosenza,Duomo,year,,,cathedral,,,,600,700,1000,1100,1188,1222,,,,,,,,,
120661948,Cosenza,Duomo,surface,,,cathedral,,,,0,1100,0,1300,0,1500,,,,,,,,,
120661948,Cosenza,Duomo,height,,,cathedral,,,,18,18,19,19,20,20,,,,,,,,,
120661948,Cosenza,Duomo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
120661948,Cosenza,Duomo,guestimate,,,cathedral,,,,1,1,1,1,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
204729664,Crema,Duomo di Crema,1134.501826,it.wikipedia.org/wiki/Duomo_di_Crema,http://www.openstreetmap.org/way/204729664,cathedral,,45.36316892,9.687249002,x,x,x,x,x,x,x,x,x,x,x,x,x,,
204729664,Crema,Duomo di Crema,year,,,cathedral,,,,500,600,1000,1090,1180,1212,1284,1340,1380,1390,,,,,
204729664,Crema,Duomo di Crema,surface,,,cathedral,,,,0,800,0,900,0,800,,200,,100,,,,,
204729664,Crema,Duomo di Crema,height,,,cathedral,,,,16,16,17,17,18,18,18,18,18,18,,,,,
204729664,Crema,Duomo di Crema,m3,,,cathedral,,,,,,,,,,,,,,,,,,
204729664,Crema,Duomo di Crema,guestimate,,,cathedral,,,,1,1,1,1,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
342758532,Cremona,Chiesa di San Sigismondo,1525.357393,it.wikipedia.org/wiki/Chiesa_di_San_Sigismondo_(Cremona),http://www.openstreetmap.org/way/342758532,conventual,0,45.12565188,10.05423114,x,x,x,x,x,x,x,x,x,x,x,x,x,,
342758532,Cremona,Chiesa di San Sigismondo,year,,,conventual,0,,,1463,1535,,,,,,,,,,,,,
342758532,Cremona,Chiesa di San Sigismondo,surface,,,conventual,0,,,0,1500,,,,,,,,,,,,,
342758532,Cremona,Chiesa di San Sigismondo,height,,,conventual,0,,,20,20,,,,,,,,,,,,,
342758532,Cremona,Chiesa di San Sigismondo,m3,,,conventual,0,,,,,,,,,,,,,,,,,
342758532,Cremona,Chiesa di San Sigismondo,guestimate,,,conventual,0,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
73881812,Cremona,Cattedrale di Santa Maria Assunta,3525.787632,it.wikipedia.org/wiki/Duomo_di_Cremona,http://www.openstreetmap.org/way/73881812,cathedral,,45.13355164,10.02560838,x,x,x,x,x,x,x,x,x,x,x,x,x,,
73881812,Cremona,Cattedrale di Santa Maria Assunta,year,,,cathedral,,,,700,900,1107,1117,1129,1190,1200,1400,,,,,,,
73881812,Cremona,Cattedrale di Santa Maria Assunta,surface,,,cathedral,,,,0,2300,0,2800,0,2500,,1000,,,,,,,
73881812,Cremona,Cattedrale di Santa Maria Assunta,height,,,cathedral,,,,24,24,26,26,29,29,29,29,,,,,,,
73881812,Cremona,Cattedrale di Santa Maria Assunta,m3,,,cathedral,,,,,,,,,,,,,,,,,,
73881812,Cremona,Cattedrale di Santa Maria Assunta,guestimate,,,cathedral,,,,1,1,1,1,1,1,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
166506824,Enna (Kasr Yannik),Duomo,1848.611537,it.wikipedia.org/wiki/Duomo_di_Enna,http://www.openstreetmap.org/way/166506824,cathedral,,37.56702211,14.28295728,x,x,x,x,x,x,x,x,x,x,x,x,x,,
166506824,Enna (Kasr Yannik),Duomo,year,,,cathedral,,,,1307,1325,1450,1475,,,,,,,,,,,
166506824,Enna (Kasr Yannik),Duomo,surface,,,cathedral,,,,0,1500,0,1800,,,,,,,,,,,
166506824,Enna (Kasr Yannik),Duomo,height,,,cathedral,,,,20,20,22,22,,,,,,,,,,,
166506824,Enna (Kasr Yannik),Duomo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
166506824,Enna (Kasr Yannik),Duomo,guestimate,,,cathedral,,,,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2704299,Faenza,Chiesa di Sant'Ippolito,1051.379575,https://it.wikipedia.org/wiki/Chiesa_dei_Santi_Ippolito_e_Lorenzo,http://www.openstreetmap.org/relation/2704299,conventual,0,44.28693013,11.88869418,x,x,x,x,x,x,x,x,x,x,x,x,x,,
2704299,Faenza,Chiesa di Sant'Ippolito,year,,,conventual,0,,,1150,1200,,,,,,,,,,,,,
2704299,Faenza,Chiesa di Sant'Ippolito,surface,,,conventual,0,,,0,900,,,,,,,,,,,,,
2704299,Faenza,Chiesa di Sant'Ippolito,height,,,conventual,0,,,17,17,,,,,,,,,,,,,
2704299,Faenza,Chiesa di Sant'Ippolito,m3,,,conventual,0,,,,,,,,,,,,,,,,,
2704299,Faenza,Chiesa di Sant'Ippolito,guestimate,,,conventual,0,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
244933666,Faenza,Chiesa di Sant'Agostino,1094.171993,http://www.terredifaenza.it/scoprire_territorio/arte_cultura/ter_chiese/pagina171-081.html,http://www.openstreetmap.org/way/244933666,conventual,1,44.28321259,11.88047735,x,x,x,x,x,x,x,x,x,x,x,x,x,,
244933666,Faenza,Chiesa di Sant'Agostino,year,,,conventual,1,,,1240,1256,,,,,,,,,,,,,
244933666,Faenza,Chiesa di Sant'Agostino,surface,,,conventual,1,,,0,900,,,,,,,,,,,,,
244933666,Faenza,Chiesa di Sant'Agostino,height,,,conventual,1,,,17,17,,,,,,,,,,,,,
244933666,Faenza,Chiesa di Sant'Agostino,m3,,,conventual,1,,,,,,,,,,,,,,,,,
244933666,Faenza,Chiesa di Sant'Agostino,guestimate,,,conventual,1,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
151931105,Faenza,Chiesa di Santa Maria Foris Portam,1484.897864,it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_ad_Nives_(Faenza),http://www.openstreetmap.org/way/151931105,conventual,0,44.28492194,11.87589061,x,x,x,x,x,x,x,x,x,x,x,x,x,,
151931105,Faenza,Chiesa di Santa Maria Foris Portam,year,,,conventual,0,,,500,600,1400,1500,,,,,,,,,,,
151931105,Faenza,Chiesa di Santa Maria Foris Portam,surface,,,conventual,0,,,0,1100,0,1300,,,,,,,,,,,
151931105,Faenza,Chiesa di Santa Maria Foris Portam,height,,,conventual,0,,,18,18,19,19,,,,,,,,,,,
151931105,Faenza,Chiesa di Santa Maria Foris Portam,m3,,,conventual,0,,,,,,,,,,,,,,,,,
151931105,Faenza,Chiesa di Santa Maria Foris Portam,guestimate,,,conventual,0,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
151920334,Faenza,Cattedrale di San Pietro Apostolo,2539.115997,it.wikipedia.org/wiki/Duomo_di_Faenza,http://www.openstreetmap.org/way/151920334,cathedral,,44.28582573,11.88447447,x,x,x,x,x,x,x,x,x,x,x,x,x,,
151920334,Faenza,Cattedrale di San Pietro Apostolo,year,,,cathedral,,,,1000,1200,1474,1525,,,,,,,,,,,
151920334,Faenza,Cattedrale di San Pietro Apostolo,surface,,,cathedral,,,,0,2000,0,2500,,,,,,,,,,,
151920334,Faenza,Cattedrale di San Pietro Apostolo,height,,,cathedral,,,,23,23,25,25,,,,,,,,,,,
151920334,Faenza,Cattedrale di San Pietro Apostolo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
151920334,Faenza,Cattedrale di San Pietro Apostolo,guestimate,,,cathedral,,,,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
463264817,Fano,Santa Maria Assunta,1220.68064,it.wikipedia.org/wiki/Cattedrale_di_Santa_Maria_Assunta_(Fano),http://www.openstreetmap.org/way/463264817,cathedral,,43.8434485,13.01563031,x,x,x,x,x,x,x,x,x,x,x,x,x,,
463264817,Fano,Santa Maria Assunta,year,,,cathedral,,,,800,1000,1125,1140,,,,,,,,,,,
463264817,Fano,Santa Maria Assunta,surface,,,cathedral,,,,0,1000,0,1200,,,,,,,,,,,
463264817,Fano,Santa Maria Assunta,height,,,cathedral,,,,17,17,19,19,,,,,,,,,,,
463264817,Fano,Santa Maria Assunta,m3,,,cathedral,,,,,,,,,,,,,,,,,,
463264817,Fano,Santa Maria Assunta,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
416928986,Fasano,Chiesa Matrice di S. Giovanni Battista (sec. XVII),1531.168215,http://www.italiavirtualtour.it/dettaglio.php?id=183,http://www.openstreetmap.org/way/416928986,parish,,40.83417078,17.35810741,x,x,x,x,x,x,x,x,x,x,x,x,x,,
416928986,Fasano,Chiesa Matrice di S. Giovanni Battista (sec. XVII),year,,,parish,,,,800,1000,1325,1350,,,,,,,,,,,
416928986,Fasano,Chiesa Matrice di S. Giovanni Battista (sec. XVII),surface,,,parish,,,,0,1100,0,1300,,,,,,,,,,,
416928986,Fasano,Chiesa Matrice di S. Giovanni Battista (sec. XVII),height,,,parish,,,,18,18,19,19,,,,,,,,,,,
416928986,Fasano,Chiesa Matrice di S. Giovanni Battista (sec. XVII),m3,,,parish,,,,,,,,,,,,,,,,,,
416928986,Fasano,Chiesa Matrice di S. Giovanni Battista (sec. XVII),guestimate,,,parish,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
167010425,Ferrara,Basilica di San Giorgio fuori le mura,1370.310631,it.wikipedia.org/wiki/Basilica_di_San_Giorgio_fuori_le_mura,http://www.openstreetmap.org/way/167010425,cathedral,,44.82173636,11.62806793,x,x,x,x,x,x,x,x,x,x,x,x,x,,
167010425,Ferrara,Basilica di San Giorgio fuori le mura,year,,,cathedral,,,,700,800,1100,1300,,,,,,,,,,,
167010425,Ferrara,Basilica di San Giorgio fuori le mura,surface,,,cathedral,,,,0,1200,0,1400,,,,,,,,,,,
167010425,Ferrara,Basilica di San Giorgio fuori le mura,height,,,cathedral,,,,18,18,20,20,,,,,,,,,,,
167010425,Ferrara,Basilica di San Giorgio fuori le mura,m3,,,cathedral,,,,,,,,,,,,,,,,,,
167010425,Ferrara,Basilica di San Giorgio fuori le mura,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
167014563,Ferrara,Basilica di Santa Maria in Vado,1370.709113,it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_in_Vado,http://www.openstreetmap.org/way/167014563,parish,,44.83039088,11.6277006,x,x,x,x,x,x,x,x,x,x,x,x,x,,
167014563,Ferrara,Basilica di Santa Maria in Vado,year,,,parish,,,,1495,1550,,,,,,,,,,,,,
167014563,Ferrara,Basilica di Santa Maria in Vado,surface,,,parish,,,,0,1400,,,,,,,,,,,,,
167014563,Ferrara,Basilica di Santa Maria in Vado,height,,,parish,,,,20,20,,,,,,,,,,,,,
167014563,Ferrara,Basilica di Santa Maria in Vado,m3,,,parish,,,,,,,,,,,,,,,,,,
167014563,Ferrara,Basilica di Santa Maria in Vado,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
167041904,Ferrara,Basilica di San Benedetto,1615.654041,it.wikipedia.org/wiki/Chiesa_di_San_Benedetto_(Ferrara),http://www.openstreetmap.org/way/167041904,conventual,0,44.84310382,11.61446709,x,x,x,x,x,x,x,x,x,x,x,x,x,,
167041904,Ferrara,Basilica di San Benedetto,year,,,conventual,0,,,1496,1553,,,,,,,,,,,,,
167041904,Ferrara,Basilica di San Benedetto,surface,,,conventual,0,,,0,1600,,,,,,,,,,,,,
167041904,Ferrara,Basilica di San Benedetto,height,,,conventual,0,,,21,21,,,,,,,,,,,,,
167041904,Ferrara,Basilica di San Benedetto,m3,,,conventual,0,,,,,,,,,,,,,,,,,
167041904,Ferrara,Basilica di San Benedetto,guestimate,,,conventual,0,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
166876205,Ferrara,Tempio di San Cristoforo alla Certosa,1862.92561,it.wikipedia.org/wiki/Chiesa_di_San_Cristoforo_alla_Certosa,http://www.openstreetmap.org/way/166876205,conventual,0,44.84550435,11.62686292,x,x,x,x,x,x,x,x,x,x,x,x,x,,
166876205,Ferrara,Tempio di San Cristoforo alla Certosa,year,,,conventual,0,,,1498,1551,,,,,,,,,,,,,
166876205,Ferrara,Tempio di San Cristoforo alla Certosa,surface,,,conventual,0,,,0,1900,,,,,,,,,,,,,
166876205,Ferrara,Tempio di San Cristoforo alla Certosa,height,,,conventual,0,,,23,23,,,,,,,,,,,,,
166876205,Ferrara,Tempio di San Cristoforo alla Certosa,m3,,,conventual,0,,,,,,,,,,,,,,,,,
166876205,Ferrara,Tempio di San Cristoforo alla Certosa,guestimate,,,conventual,0,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
167002317,Ferrara,Chiesa di San Paolo,1974.314462,it.wikipedia.org/wiki/Chiesa_di_San_Paolo_(Ferrara),http://www.openstreetmap.org/way/167002317,parish,,44.83417606,11.61773483,x,x,x,x,x,x,x,x,x,x,x,x,x,,
167002317,Ferrara,Chiesa di San Paolo,year,,,parish,,,,900,1000,1301,1320,,,,,,,,,,,
167002317,Ferrara,Chiesa di San Paolo,surface,,,parish,,,,0,1400,,300,,,,,,,,,,,
167002317,Ferrara,Chiesa di San Paolo,height,,,parish,,,,22,22,22,22,,,,,,,,,,,
167002317,Ferrara,Chiesa di San Paolo,m3,,,parish,,,,,,,,,,,,,,,,,,
167002317,Ferrara,Chiesa di San Paolo,guestimate,,,parish,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
167002096,Ferrara,Basilica di San Francesco,2578.632807,it.wikipedia.org/wiki/Chiesa_di_San_Francesco_(Ferrara),http://www.openstreetmap.org/way/167002096,conventual,1,44.8341353,11.62505577,x,x,x,x,x,x,x,x,x,x,x,x,x,,
167002096,Ferrara,Basilica di San Francesco,year,,,conventual,1,,,1200,1300,1494,1550,,,,,,,,,,,
167002096,Ferrara,Basilica di San Francesco,surface,,,conventual,1,,,0,2100,0,2600,,,,,,,,,,,
167002096,Ferrara,Basilica di San Francesco,height,,,conventual,1,,,24,24,26,26,,,,,,,,,,,
167002096,Ferrara,Basilica di San Francesco,m3,,,conventual,1,,,,,,,,,,,,,,,,,
167002096,Ferrara,Basilica di San Francesco,guestimate,,,conventual,1,,,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
338822833,Ferrara,Cattedrale di San Giorgio Martire,4409.769269,it.wikipedia.org/wiki/Cattedrale_di_San_Giorgio_(Ferrara),http://www.openstreetmap.org/way/338822833,cathedral,,44.83558892,11.62031499,x,x,x,x,x,x,x,x,x,x,x,x,x,,
338822833,Ferrara,Cattedrale di San Giorgio Martire,year,,,cathedral,,,,1113,1135,1451,1493,,,,,,,,,,,
338822833,Ferrara,Cattedrale di San Giorgio Martire,surface,,,cathedral,,,,0,4200,,200,,,,,,,,,,,
338822833,Ferrara,Cattedrale di San Giorgio Martire,height,,,cathedral,,,,32,32,32,32,,,,,,,,,,,
338822833,Ferrara,Cattedrale di San Giorgio Martire,m3,,,cathedral,,,,,,,,,,,,,,,,,,
338822833,Ferrara,Cattedrale di San Giorgio Martire,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
184277050,Firenze,Badia Fiesolana,1006.034049,it.wikipedia.org/wiki/Badia_Fiesolana,http://www.openstreetmap.org/way/184277050,conventual,0,43.8030395,11.28302177,x,x,x,x,x,x,x,x,x,x,x,x,x,,
184277050,Firenze,Badia Fiesolana,year,,,conventual,0,,,1025,1028,1456,1467,,,,,,,,,,,
184277050,Firenze,Badia Fiesolana,surface,,,conventual,0,,,0,900,0,1000,,,,,,,,,,,
184277050,Firenze,Badia Fiesolana,height,,,conventual,0,,,16,16,17,17,,,,,,,,,,,
184277050,Firenze,Badia Fiesolana,m3,,,conventual,0,,,,,,,,,,,,,,,,,
184277050,Firenze,Badia Fiesolana,guestimate,,,conventual,0,,,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
91371849,Firenze,Chiesa di San Salvatore a Monte,1030.689524,it.wikipedia.org/wiki/Chiesa_di_San_Salvatore_al_Monte,http://www.openstreetmap.org/way/91371849,conventual,1,43.76139453,11.26531337,x,x,x,x,x,x,x,x,x,x,x,x,x,,
91371849,Firenze,Chiesa di San Salvatore a Monte,year,,,conventual,1,,,1417,1422,,,,,,,,,,,,,
91371849,Firenze,Chiesa di San Salvatore a Monte,surface,,,conventual,1,,,0,1000,,,,,,,,,,,,,
91371849,Firenze,Chiesa di San Salvatore a Monte,height,,,conventual,1,,,17,17,,,,,,,,,,,,,
91371849,Firenze,Chiesa di San Salvatore a Monte,m3,,,conventual,1,,,,,,,,,,,,,,,,,
91371849,Firenze,Chiesa di San Salvatore a Monte,guestimate,,,conventual,1,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
305870368,Firenze,Chiesa dei Santi Gervasio e Protasio,1061.778804,it.wikipedia.org/wiki/Chiesa_dei_Santi_Gervasio_e_Protasio_(Firenze),http://www.openstreetmap.org/way/305870368,parish,,43.7837009,11.2832163,x,x,x,x,x,x,x,x,x,x,x,x,x,,
305870368,Firenze,Chiesa dei Santi Gervasio e Protasio,year,,,parish,,,,950,1000,,,,,,,,,,,,,
305870368,Firenze,Chiesa dei Santi Gervasio e Protasio,surface,,,parish,,,,0,900,,,,,,,,,,,,,
305870368,Firenze,Chiesa dei Santi Gervasio e Protasio,height,,,parish,,,,17,17,,,,,,,,,,,,,
305870368,Firenze,Chiesa dei Santi Gervasio e Protasio,m3,,,parish,,,,,,,,,,,,,,,,,,
305870368,Firenze,Chiesa dei Santi Gervasio e Protasio,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
184781037,Firenze,Basilica di San Miniato al Monte,1111.215283,it.wikipedia.org/wiki/Basilica_di_San_Miniato_al_Monte,http://www.openstreetmap.org/way/184781037,conventual,0,43.7594445,11.26511519,x,x,x,x,x,x,x,x,x,x,x,x,x,,
184781037,Firenze,Basilica di San Miniato al Monte,year,,,conventual,0,,,700,800,1013,1040,,,,,,,,,,,
184781037,Firenze,Basilica di San Miniato al Monte,surface,,,conventual,0,,,0,800,0,900,,,,,,,,,,,
184781037,Firenze,Basilica di San Miniato al Monte,height,,,conventual,0,,,16,16,17,17,,,,,,,,,,,
184781037,Firenze,Basilica di San Miniato al Monte,m3,,,conventual,0,,,,,,,,,,,,,,,,,
184781037,Firenze,Basilica di San Miniato al Monte,guestimate,,,conventual,0,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
116748168,Firenze,San Paolino,1119.965921,it.wikipedia.org/wiki/Chiesa_di_San_Paolino_(Firenze),http://www.openstreetmap.org/way/116748168,parish,,43.77264445,11.24777462,x,x,x,x,x,x,x,x,x,x,x,x,x,,
116748168,Firenze,San Paolino,year,,,parish,,,,300,400,900,1100,,,,,,,,,,,
116748168,Firenze,San Paolino,surface,,,parish,,,,0,800,0,900,,,,,,,,,,,
116748168,Firenze,San Paolino,height,,,parish,,,,16,16,17,17,,,,,,,,,,,
116748168,Firenze,San Paolino,m3,,,parish,,,,,,,,,,,,,,,,,,
116748168,Firenze,San Paolino,guestimate,,,parish,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
140234638,Firenze,Cattedrale di San Romolo,1180.813033,it.wikipedia.org/wiki/Duomo_di_Fiesole,http://www.openstreetmap.org/way/140234638,cathedral,,43.80722559,11.29256965,x,x,x,x,x,x,x,x,x,x,x,x,x,,
140234638,Firenze,Cattedrale di San Romolo,year,,,cathedral,,,,1028,1050,1200,1260,,,,,,,,,,,
140234638,Firenze,Cattedrale di San Romolo,surface,,,cathedral,,,,0,800,,400,,,,,,,,,,,
140234638,Firenze,Cattedrale di San Romolo,height,,,cathedral,,,,19,19,19,19,,,,,,,,,,,
140234638,Firenze,Cattedrale di San Romolo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
140234638,Firenze,Cattedrale di San Romolo,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
303278550,Firenze,Santa Maria Maddalena dei Pazzi,1199.521196,it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_Maddalena_dei_Pazzi,http://www.openstreetmap.org/way/303278550,conventual,0,43.77415656,11.26491451,x,x,x,x,x,x,x,x,x,x,x,x,x,,
303278550,Firenze,Santa Maria Maddalena dei Pazzi,year,,,conventual,0,,,1200,1250,1480,1500,,,,,,,,,,,
303278550,Firenze,Santa Maria Maddalena dei Pazzi,surface,,,conventual,0,,,0,600,,400,,,,,,,,,,,
303278550,Firenze,Santa Maria Maddalena dei Pazzi,height,,,conventual,0,,,17,17,17,17,,,,,,,,,,,
303278550,Firenze,Santa Maria Maddalena dei Pazzi,m3,,,conventual,0,,,,,,,,,,,,,,,,,
303278550,Firenze,Santa Maria Maddalena dei Pazzi,guestimate,,,conventual,0,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
478272186,Firenze,Basilica di Santa Trinita,1356.641227,it.wikipedia.org/wiki/Basilica_di_Santa_Trinita,http://www.openstreetmap.org/way/478272186,parish,,43.77012825,11.25073447,x,x,x,x,x,x,x,x,x,x,x,x,x,,
478272186,Firenze,Basilica di Santa Trinita,year,,,parish,,,,1090,1100,1258,1280,,,,,,,,,,,
478272186,Firenze,Basilica di Santa Trinita,surface,,,parish,,,,0,1200,0,1400,,,,,,,,,,,
478272186,Firenze,Basilica di Santa Trinita,height,,,parish,,,,18,18,20,20,,,,,,,,,,,
478272186,Firenze,Basilica di Santa Trinita,m3,,,parish,,,,,,,,,,,,,,,,,,
478272186,Firenze,Basilica di Santa Trinita,guestimate,,,parish,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
118416085,Firenze,Chiesa di San Frediano in Cestello,1413.015003,it.wikipedia.org/wiki/Chiesa_di_San_Frediano_in_Cestello,http://www.openstreetmap.org/way/118416085,conventual,0,43.76996688,11.24401003,x,x,x,x,x,x,x,x,x,x,x,x,x,,
118416085,Firenze,Chiesa di San Frediano in Cestello,year,,,conventual,0,,,1000,1100,,,,,,,,,,,,,
118416085,Firenze,Chiesa di San Frediano in Cestello,surface,,,conventual,0,,,0,1200,,,,,,,,,,,,,
118416085,Firenze,Chiesa di San Frediano in Cestello,height,,,conventual,0,,,18,18,,,,,,,,,,,,,
118416085,Firenze,Chiesa di San Frediano in Cestello,m3,,,conventual,0,,,,,,,,,,,,,,,,,
118416085,Firenze,Chiesa di San Frediano in Cestello,guestimate,,,conventual,0,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
167273908,Firenze,Ognissanti,1862.975762,it.wikipedia.org/wiki/Chiesa_di_Ognissanti_(Firenze),http://www.openstreetmap.org/way/167273908,conventual,1,43.77260242,11.24610679,x,x,x,x,x,x,x,x,x,x,x,x,x,,
167273908,Firenze,Ognissanti,year,,,conventual,1,,,1251,1260,,,,,,,,,,,,,
167273908,Firenze,Ognissanti,surface,,,conventual,1,,,0,1600,,,,,,,,,,,,,
167273908,Firenze,Ognissanti,height,,,conventual,1,,,21,21,,,,,,,,,,,,,
167273908,Firenze,Ognissanti,m3,,,conventual,1,,,,,,,,,,,,,,,,,
167273908,Firenze,Ognissanti,guestimate,,,conventual,1,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
118425485,Firenze,Basilica di Santa Maria del Carmine,2577.560786,it.wikipedia.org/wiki/Basilica_di_Santa_Maria_del_Carmine_(Firenze),http://www.openstreetmap.org/way/118425485,conventual,1,43.7677983,11.2438786,x,x,x,x,x,x,x,x,x,x,x,x,x,,
118425485,Firenze,Basilica di Santa Maria del Carmine,year,,,conventual,1,,,1268,1275,1328,1335,1464,1470,,,,,,,,,
118425485,Firenze,Basilica di Santa Maria del Carmine,surface,,,conventual,1,,,0,1500,,500,,100,,,,,,,,,
118425485,Firenze,Basilica di Santa Maria del Carmine,height,,,conventual,1,,,24,24,24,24,24,24,,,,,,,,,
118425485,Firenze,Basilica di Santa Maria del Carmine,m3,,,conventual,1,,,,,,,,,,,,,,,,,
118425485,Firenze,Basilica di Santa Maria del Carmine,guestimate,,,conventual,1,,,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
234428743,Firenze,Basilica della Santissima Annunziata,3129.380321,it.wikipedia.org/wiki/Basilica_della_Santissima_Annunziata,http://www.openstreetmap.org/way/234428743,conventual,0,43.77703365,11.26138378,x,x,x,x,x,x,x,x,x,x,x,x,x,,
234428743,Firenze,Basilica della Santissima Annunziata,year,,,conventual,0,,,1250,1275,1444,1481,,,,,,,,,,,
234428743,Firenze,Basilica della Santissima Annunziata,surface,,,conventual,0,,,0,2500,0,3100,,,,,,,,,,,
234428743,Firenze,Basilica della Santissima Annunziata,height,,,conventual,0,,,25,25,28,28,,,,,,,,,,,
234428743,Firenze,Basilica della Santissima Annunziata,m3,,,conventual,0,,,,,,,,,,,,,,,,,
234428743,Firenze,Basilica della Santissima Annunziata,guestimate,,,conventual,0,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
24883266,Firenze,Basilica di San Lorenzo,3176.365297,it.wikipedia.org/wiki/Basilica_di_San_Lorenzo_(Firenze),http://www.openstreetmap.org/way/24883266,cathedral,,43.77487741,11.25403059,x,x,x,x,x,x,x,x,x,x,x,x,x,,
24883266,Firenze,Basilica di San Lorenzo,year,,,cathedral,,,,350,393,1059,1070,1419,1490,,,,,,,,,
24883266,Firenze,Basilica di San Lorenzo,surface,,,cathedral,,,,0,2100,0,2600,0,3200,,,,,,,,,
24883266,Firenze,Basilica di San Lorenzo,height,,,cathedral,,,,24,24,26,26,28,28,,,,,,,,,
24883266,Firenze,Basilica di San Lorenzo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
24883266,Firenze,Basilica di San Lorenzo,guestimate,,,cathedral,,,,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
449369047,Firenze,Basilica Santa Maria Novella,3917.704848,it.wikipedia.org/wiki/Basilica_di_Santa_Maria_Novella,http://www.openstreetmap.org/way/449369047,other,,43.77470223,11.24938858,x,x,x,x,x,x,x,x,x,x,x,x,x,,
