city,UN.country.code,country,transport.location,X__1,X700y,X800y,X900y,X1000y,X1100y,X1200y,X1300y,X1400y,X1500y,X1550y,X1600y,X1650y,X1700y,X1750y,X1800y,X1850y,X1900y,X1950y,X2000y,latitude,longtitude,elevation,loc,lat,lon,loc_frmtd,distance
Santa Caterina Villarmosa,380,Italy,land mediterranean,,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,6,8,11,6,37.58,14.03,650,Santa Caterina Villarmosa,37.5894388,14.0355276,"93018 Santa Caterina Villarmosa, Province of Caltanissetta, Italy",1.15578807396884
Santa Margherita di Belice,380,Italy,land mediterranean,,0,0,0,0,0,0,0,0,0,0,1,2,3,6,7,7,8,8,7,37.7,13.03,400,Santa Margherita di Belice,37.6912737,13.0225944,"92018 Santa Margherita di Belice, AG, Italy",1.16818555366542
Santa Maria Capua Vetere (Santa Maria Capua Vetere),380,Italy,land mediterranean,,1,2,2,2,2,3,3,2,4,4,5,5,5,6,8,12,22,28,31,41.08,14.25,36,Santa Maria Capua Vetere (Santa Maria Capua Vetere),41.0820867,14.2541872,"81055 Santa Maria Capua Vetere, Province of Caserta, Italy",0.421317236490817
San Stefano di Briga (Santo Stefano di Briga),380,Italy,land mediterranean,,0,0,0,1,1,1,2,1,2,2,2,3,3,3,5,5,4,3,2,38.1,15.47,150,San Stefano di Briga (Santo Stefano di Briga),38.1006777,15.4811241,"98137 Santo Stefano di Briga ME, Italy",0.978619415883354
Scigliano,380,Italy,land mediterranean,,1,1,1,2,2,2,2,1,2,2,3,3,2,3,4,6,3,4,2,39.12,16.3,659,Scigliano,39.1290963,16.293406,"87057 Scigliano, Province of Cosenza, Italy",1.15972238410924
Tortorici,380,Italy,land mediterranean,,0,0,0,0,1,1,2,1,2,3,4,3,2,3,4,6,11,11,8,38.03,14.82,468,Tortorici,38.0103998,14.8337879,"98078 Tortorici, Province of Messina, Italy",2.48975961056243
Trino,380,Italy,river mediterranean,,1,1,1,1,1,2,2,1,2,2,3,3,2,3,4,7,12,10,8,45.2,8.3,120,Trino,45.2180536,8.246264,"13039 Trino, Province of Vercelli, Italy",4.67402760102246
Ventigmiglia,380,Italy,med,,2,2,2,2,2,2,3,2,2,2,3,3,3,4,4,5,11,16,25,43.78,7.62,1,Ventigmiglia,43.7912366,7.6075864,"18039 Ventimiglia, Province of Imperia, Italy",1.5991144545739
Vibo Valentia,380,Italy,land mediterranean,,1,1,1,2,2,2,2,1,3,4,5,4,4,5,7,10,15,23,34,38.67,16.1,475,Vibo Valentia,38.6757774,16.0983488,"89900 Vibo Valentia, Province of Vibo Valentia, Italy",0.657250352612775
Vigon (Vigone),380,Italy,land mediterranean,,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,6,6,5,5,44.85,7.5,160,Vigon (Vigone),44.8383738,7.4922834,"10067 Vigone, Metropolitan City of Turin, Italy",1.42881002847636
Almere,528,Netherlands,river north sea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,143,52.37,5.22,-3,Almere,52.3507849,5.2647016,"Almere, Netherlands",3.72095840372523
Ede,528,Netherlands,land north sea,,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,5,12,28,68,52.03,5.67,30,Ede,52.0401675,5.6648594,"Ede, Netherlands",1.18505141842918
Franeker,528,Netherlands,river north sea,,0,0,0,1,1,1,2,1,2,2,3,4,4,3,4,5,7,10,13,53.18,5.53,4,Franeker,53.1888206,5.5564857,"Franeker, Netherlands",2.0245008525661
Goes,528,Netherlands,river north sea,,0,0,0,1,1,1,2,1,2,2,2,3,3,3,4,5,7,14,27,51.5,3.9,1,Goes,51.5046455,3.8911304,"Goes, Netherlands",0.804014851254301
Harderwijk,528,Netherlands,north sea,,0,0,0,0,0,1,2,2,4,3,3,3,4,4,4,6,7,18,45,52.35,5.6,2,Harderwijk,52.3422025,5.6367423,"Harderwijk, Netherlands",2.64994798283081
Heerlen,528,Netherlands,river north sea,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,13,34,89,50.9,5.98,116,Heerlen,50.8881742,5.9794988,"Heerlen, Netherlands",1.31606021412937
Helmond,528,Netherlands,land north sea,,0,0,0,0,0,1,2,1,2,2,2,3,3,3,3,5,13,34,89,51.48,5.67,18,Helmond,51.4792547,5.6570096,"Helmond, Netherlands",0.906261106331129
Hilversum,528,Netherlands,land north sea,,0,0,0,0,0,0,1,1,1,2,2,2,2,3,4,5,20,41,86,52.23,5.17,5,Hilversum,52.2291696,5.1668974,"Hilversum, Netherlands",0.231250455828114
