city,UN.country.code,country,transport.location,X__1,X700y,X800y,X900y,X1000y,X1100y,X1200y,X1300y,X1400y,X1500y,X1550y,X1600y,X1650y,X1700y,X1750y,X1800y,X1850y,X1900y,X1950y,X2000y,latitude,longtitude,elevation,loc,lat,lon,loc_frmtd,distance
Milton Keynes,826,UK,land north sea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,249,52.04,-0.76,100,Milton Keynes,52.0406224,-0.7594171,"Milton Keynes, UK",0.0799737305188581
Nantwich,826,UK,river north sea,,0,0,0,1,1,1,1,1,2,3,3,4,4,3,3,6,8,10,13,53.07,-2.52,39,Nantwich,53.067185,-2.524102,"Nantwich CW5, UK",0.416827195404993
Newark,826,UK,river north sea,,1,1,1,1,1,1,1,1,2,3,3,2,2,4,7,11,15,19,25,53.08,-0.81,19,Newark,53.0700391,-0.80657,"Newark-on-Trent, Newark NG24, UK",1.1321191392855
Newbury,826,UK,river north sea,,0,0,0,1,1,1,1,1,3,3,2,2,2,3,4,7,11,18,28,51.4,-1.32,78,Newbury,51.401409,-1.3231139,"Newbury, UK",0.267455953841072
Nuneaton,826,UK,river north sea,,0,0,0,0,0,1,1,1,1,1,2,2,2,3,5,5,25,42,71,52.523,-1.4683,85,Nuneaton,52.520489,-1.465382,"Nuneaton, UK",0.342497184389766
Rugby,826,UK,land north sea,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,6,17,32,62,52.38,-1.25,114,Rugby,52.370878,-1.265032,"Rugby, UK",1.44163316724665
Sandwich,826,UK,land north sea,,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,5,3,5,7,51.28,1.33,5,"Sandwich, Kent",51.274017,1.337427,"Sandwich, UK",0.843593065241054
Sefton,826,UK,land north sea,,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,5,3,2,1,53.5,-2.97,8,Sefton,53.5034767,-3.0350661,"Metropolitan Borough of Sefton, UK",4.33483792102623
"Southampton (Hamtun, Hamwic)",826,UK,north sea + river,,3,4,2,1,1,2,3,2,3,3,4,3,3,3,8,35,105,178,240,50.9,-1.4,5,"Southampton (Hamtun, Hamwic)",50.9022553,-1.3976217,"Cook St, Southampton SO14 1YA, UK",0.301562307576036
Southend on Sea,826,UK,north sea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3,29,152,174,50.54,0.71,5,Southend on Sea,51.5459269,0.7077123,"Southend-on-Sea, UK",111.909571770989
Stafford,826,UK,river north sea,,0,0,0,1,1,1,1,1,1,1,1,1,2,3,4,12,21,34,56,52.81,-2.12,77,Stafford,52.806693,-2.12066,"Stafford, UK",0.370696255560865
Stoke on Trent (has been changed in size),826,UK,river north sea,,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,14,30,275,240,53,-2.17,144,Stoke on Trent (has been changed in size),53.002668,-2.179404,"Stoke-on-Trent, UK",0.697670422408878
Telford,826,UK,land north sea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,170,52.68,-2.45,129,Telford,52.678419,-2.445258,"Telford, UK",0.365805136176043
Windsor,826,UK,river north sea,,0,0,0,0,0,0,1,1,1,1,2,2,2,3,5,14,14,21,32,51.4791,-0.6095,49,Windsor,51.4817279,-0.613576,"Windsor SL4, UK",0.407017301551559
